ITEM;CÓD;TIPO;DESCRIÇÃO;UN;PREÇO
001.12.591;92928;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;26,96
001.12.592;92929;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;27,11
001.12.593;92930;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;26,77
001.12.594;92931;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;34,74
001.12.595;92932;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;34,71
001.12.596;92933;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;34,56
001.12.597;92934;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2.1/2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;52,21
001.12.598;92935;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2.1/2"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;52,21
001.12.599;92936;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;69,47
001.12.600;92937;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;69,47
001.12.601;92938;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;14,2
001.12.602;92939;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;14,28
001.12.603;92940;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/4"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;17,09
001.12.604;92941;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/4"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;16,94
001.12.605;92942;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/4"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;16,94
001.12.606;92943;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;20,46
001.12.607;92944;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;20,61
001.12.608;92945;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;20,27
001.12.609;92946;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;27,27
001.12.610;92947;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;27,23
001.12.611;92948;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;27,08
001.12.612;92949;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2 1/2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;43,24
001.12.613;92950;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2 1/2"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;43,24
001.12.614;92951;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;59,05
001.12.615;92952;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;59,05
001.12.616;92953;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3/4"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;12,11
001.12.617;93050;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;5,12
001.12.618;93051;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;4,75
001.12.619;93052;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;213,16
001.12.620;93054;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 22 MM X 3/4”, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;9,45
001.12.621;93055;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;18,89
001.12.622;93056;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 28 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;7,32
001.12.623;93057;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;6,44
001.12.624;93058;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 28 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;234,37
001.12.625;93059;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 28 MM X 1/2”, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;12,85
001.12.626;93060;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, 28 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;32,66
001.12.627;93061;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 35 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;13,38
001.12.628;93062;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 35 X 28 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;11,67
001.12.629;93063;;JUNTA DE EXPANSÃO EM BRONZE/LATÃO, PONTA X PONTA, DN 35 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;268,39
001.12.630;93064;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 42 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;19,87
001.12.631;93065;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 42 X 35 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;18,6
001.12.632;93066;;JUNTA DE EXPANSÃO EM BRONZE/LATÃO, PONTA X PONTA, DN 42 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;336,24
001.12.633;93067;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 54 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;29,31
001.12.634;93068;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 54 X 42 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;25,6
001.12.635;93069;;JUNTA DE EXPANSÃO EM BRONZE/LATÃO, PONTA X PONTA, DN 54 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;465,83
001.12.636;93070;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 66 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;74,4
001.12.637;93071;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 66 X 54 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;69,05
001.12.638;93072;;JUNTA DE EXPANSÃO EM BRONZE/LATÃO, PONTA X PONTA, DN 66 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;614,56
001.12.639;93073;;TE DUPLA CURVA EM BRONZE/LATÃO, SEM ANEL DE SOLDA, ROSCA F X BOLSA X ROSCA F, 3/4” X 22 X 3/4”, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;34,82
001.12.640;93074;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 15 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;6,55
001.12.641;93075;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 15 MM X 1/2”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,09
001.12.642;93076;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 22 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;9,88
001.12.643;93077;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 1/2”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;13,85
001.12.644;93078;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 3/4”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;14,89
001.12.645;93079;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 28 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;13,35
001.12.646;93080;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 15 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;4,22
001.12.647;93081;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 15 MM X 1/2”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;8,7
001.12.648;93082;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, DN 15 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,49
001.12.649;93083;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 15 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;184,8
001.12.650;93084;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 22 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;6,43
001.12.651;93085;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;6,06
001.12.652;93086;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 22 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;214,47
001.12.653;93087;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 1/2”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;9,38
001.12.654;93088;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 3/4”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,76
001.12.655;93089;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 22 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;20,2
001.12.656;93090;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 28 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;8,63
001.12.657;93091;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;7,75
001.12.658;93092;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 28 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;235,68
001.12.659;93093;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 28 MM X 1/2”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;14,16
001.12.660;93094;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 28 MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;33,97
001.12.661;93095;;TE DUPLA CURVA EM BRONZE/LATÃO, SEM ANEL DE SOLDA, ROSCA F X BOLSA X ROSCA F, 1/2” X 15 X 1/2”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;26,69
001.12.662;93096;;TE DUPLA CURVA EM BRONZE/LATÃO, SEM ANEL DE SOLDA, ROSCA F  X BOLSA X ROSCA F, 3/4” X 22 X 3/4”, INSTALADO EM RAMAL DE DISTRIBUIÇÃO   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;37,39
001.12.663;93097;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 15 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;6,7
001.12.664;93098;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 15 MM X 1/2”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,23
001.12.665;93099;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 22 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;11,66
001.12.666;93100;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 1/2”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;15,63
001.12.667;93101;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 3/4”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;16,67
001.12.668;93102;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 28 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;15,17
001.12.669;93103;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 15 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;4,34
001.12.670;93104;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 15 MM X 1/2”,  INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;8,82
001.12.671;93105;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 15 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,61
001.12.672;93106;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 15 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;184,92
001.12.673;93107;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 22 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;7,59
001.12.674;93108;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;7,22
001.12.675;93109;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, 22 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;215,63
001.12.676;93110;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 22 MM X 1/2”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,54
001.12.677;93111;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 22 MM X 3/4”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;11,92
001.12.678;93112;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, 22 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;21,36
001.12.679;93113;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 28 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;10,72
001.12.680;93114;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 28 MM X 1/2”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;16,25
001.12.681;93115;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, 28 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;36,06
001.12.682;93116;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 28 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;237,77
001.12.683;93117;;TE DUPLA CURVA EM BRONZE/LATÃO, SEM ANEL DE SOLDA, ROSCA F X BOLSA X ROSCA F, 1/2” X 15 X 1/2”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;26,87
001.12.684;93118;;TE DUPLA CURVA EM BRONZE/LATÃO, SEM ANEL DE SOLDA, ROSCA F X BOLSA, ROSCA F, 3/4” X 22 X 3/4”, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;39,73
001.12.685;93119;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;7,95
001.12.686;93120;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 1/2”, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;11,92
001.12.687;93121;;COTOVELO EM BRONZE/LATÃO, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X ROSCA F, DN 22 MM X 3/4”, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;12,96
001.12.688;93122;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 28 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;11,44
001.12.689;93123;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 35 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;24,36
001.12.690;93124;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, DN 42 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;37,34
001.12.691;93125;;CURVA EM COBRE, 45 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 54 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;54,06
001.12.692;93126;;CURVA EM COBRE, 90 GRAUS, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 66 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;119,54
001.12.693;93133;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM, INSTALADO EM RAMAL E SUB-RAMAL   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;466,45
001.12.694;6171;;TAMPA DE CONCRETO ARMADO 60X60X5CM PARA CAIXA;UN;19,64
001.12.695;72289;;CAIXA DE INSPEÇÃO 80X80X80CM EM ALVENARIA - EXECUÇÃO;UN;299,31
001.12.696;72290;;CAIXA DE INSPEÇÃO 90X90X80CM EM ALVENARIA - EXECUÇÃO;UN;339,08
001.12.697;74051/1;;CAIXA DE GORDURA DUPLA EM CONCRETO PRE-MOLDADO DN 60MM COM TAMPA - FORNECIMENTO E INSTALACAO;UN;137,21
001.12.698;74051/2;;CAIXA DE GORDURA SIMPLES EM CONCRETO PRE-MOLDADO DN 40MM COM TAMPA - FORNECIMENTO E INSTALACAO;UN;92,13
001.12.699;74058/1;;TORNEIRA DE BOIA REAL 1/2” COM BALAO METALICO - FORNECIMENTO E INSTALACAO;UN;42,34
001.12.700;74058/2;;TORNEIRA DE BOIA VAZAO TOTAL 3/4” COM BALAO PLASTICO - FORNECIMENTO E INSTALACAO;UN;58,12
001.12.701;74058/3;;TORNEIRA DE BOIA REAL 1” COM BALAO PLASTICO - FORNECIMENTO E INSTALACAO;UN;59,25
