ITEM;CÓDIGOS;CLASSE;DESCRIÇÃO;UNIDADE;VALOR
001.12.519;92661;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 40 (1 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;18,44
001.12.520;92662;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 40 (1 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;21,71
001.12.521;92663;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 (2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;29,56
001.12.522;92664;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 (2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,56
001.12.523;92665;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;38,83
001.12.524;92666;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;46,24
001.12.525;92667;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 (3""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;51,44
001.12.526;92668;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 (3""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;63,86
001.12.527;92669;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;22,38
001.12.528;92670;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;20,42
001.12.529;92671;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 32 (1 1/4""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;29,17
001.12.530;92672;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 32 (1 1/4""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;25,3
001.12.531;92673;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 40 (1 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;33,2
001.12.532;92674;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 40 (1 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;31,17
001.12.533;92675;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 (2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;39,18
001.12.534;92676;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 (2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;41,26
001.12.535;92677;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;61,66
001.12.536;92678;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;66,75
001.12.537;92679;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 (3""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;76,55
001.12.538;92680;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 (3""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;86,07
001.12.539;92681;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;27,69
001.12.540;92682;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 32 (1 1/4""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;34,51
001.12.541;92683;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 40 (1 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;37,99
001.12.542;92684;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 (2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;54,78
001.12.543;92685;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;82,9
001.12.544;92686;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 (3""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;102,92
001.12.545;92692;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 15 (1/2""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;7,23
001.12.546;92693;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 15 (1/2""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;7,87
001.12.547;92694;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 20 (3/4""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;11,73
001.12.548;92695;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 20 (3/4""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;12,72
001.12.549;92696;;"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;19,18
001.12.550;92697;;"LUVA, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;19,93
001.12.551;92698;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 15 (1/2""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;11,82
001.12.552;92699;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 15 (1/2""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;10,51
001.12.553;92700;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 20 (3/4""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;19,32
001.12.554;92701;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 20 (3/4""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;18,21
001.12.555;92702;;"JOELHO 45 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;29,99
001.12.556;92703;;"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,04
001.12.557;92704;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 15 (1/2""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;13,99
001.12.558;92705;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 20 (3/4""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;23,07
001.12.559;92706;;"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;37,84
001.12.560;92889;;"UNIÃO, EM FERRO GALVANIZADO, DN 50 (2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;74,29
001.12.561;92890;;"UNIÃO, EM FERRO GALVANIZADO, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;106,57
001.12.562;92891;;"UNIÃO, EM FERRO GALVANIZADO, DN 80 (3""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;149,22
001.12.563;92892;;"UNIÃO, EM FERRO GALVANIZADO, DN 25 (1""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;34,34
001.12.564;92893;;"UNIÃO, EM FERRO GALVANIZADO, DN 32 (1 1/4""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;46,58
001.12.565;92894;;"UNIÃO, EM FERRO GALVANIZADO, DN 40 (1 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;53,12
001.12.566;92895;;"UNIÃO, EM FERRO GALVANIZADO, DN 50 (2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;74,26
001.12.567;92896;;"UNIÃO, EM FERRO GALVANIZADO, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;107,52
001.12.568;92897;;"UNIÃO, EM FERRO GALVANIZADO, DN 80 (3""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;151,17
001.12.569;92898;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;29,06
001.12.570;92899;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 32 (1 1/4""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;40,58
001.12.571;92900;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 40 (1 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;46,28
001.12.572;92901;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 (2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;66,4
001.12.573;92902;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;98,1
001.12.574;92903;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 (3""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;140,21
001.12.575;92904;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 15 (1/2""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;18,03
001.12.576;92905;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 20 (3/4""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;26,7
001.12.577;92906;;"UNIÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 25 (1""), INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;34,11
001.12.578;92907;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;36,57
001.12.579;92908;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;36,53
001.12.580;92909;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;36,37
001.12.581;92910;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2.1/2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;54
001.12.582;92911;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2.1/2"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;54
001.12.583;92912;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;69,58
001.12.584;92913;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;71,2
001.12.585;92914;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;71,2
001.12.586;92918;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;20,2
001.12.587;92920;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;20,28
001.12.588;92925;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1 1/4"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;23,96
001.12.589;92926;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1 1/4"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;23,8
001.12.590;92927;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1 1/4"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;23,8
001.12.591;92928;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,34
001.12.592;92929;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,5
001.12.593;92930;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,14
001.12.594;92931;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;36,55
001.12.595;92932;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;36,51
001.12.596;92933;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;36,35
001.12.597;92934;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2.1/2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;54,95
001.12.598;92935;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2.1/2"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;54,95
001.12.599;92936;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;73,15
001.12.600;92937;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;73,15
001.12.601;92938;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;14,93
001.12.602;92939;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;15,01
001.12.603;92940;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/4"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;17,96
001.12.604;92941;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/4"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;17,8
001.12.605;92942;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/4"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;17,8
001.12.606;92943;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;21,51
001.12.607;92944;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;21,67
001.12.608;92945;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 1.1/2"" X 3/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;21,31
001.12.609;92946;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,68
001.12.610;92947;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1.1/4"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,64
001.12.611;92948;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2"" X 1"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;28,48
001.12.612;92949;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2 1/2"" X 1.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;45,52
001.12.613;92950;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 2 1/2"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;45,52
001.12.614;92951;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2.1/2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;62,19
001.12.615;92952;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3"" X 2"", CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA SPRINKLER - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;62,19
001.12.616;92953;;"LUVA DE REDUÇÃO, EM FERRO GALVANIZADO, 3/4"" X 1/2"", CONEXÃO ROSQUEADA, INSTALADO EM RAMAIS E SUB-RAMAIS DE GÁS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015";UN;12,72
001.12.617;93050;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;5,19
001.12.618;93051;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;4,82
001.12.619;93052;;JUNTA DE EXPANSÃO EM COBRE, PONTA X PONTA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;213,23
001.12.620;93054;;CONECTOR EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X ROSCA F, 22 MM X 3/4”, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;9,53
001.12.621;93055;;CURVA DE TRANSPOSIÇÃO EM BRONZE/LATÃO, SEM ANEL DE SOLDA, BOLSA X BOLSA, DN 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;18,97
001.12.622;93056;;LUVA PASSANTE EM COBRE, SEM ANEL DE SOLDA, DN 28 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;7,41
001.12.623;93057;;BUCHA DE REDUÇÃO EM COBRE, SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM, INSTALADO EM PRUMADA   FORNECIMENTO E INSTALAÇÃO. AF_01/2016_P;UN;6,53
